	restaurantName	address	city	postalCode	country	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website	cleaned_description
10	Dama	Via Mulino	località San Gaudenzio	Cervesina	27050	€€€	Modern Cuisine	Situated just a few kilometres from Voghera in the Bassa Lomellina area, this gourmet restaurant run by a young chef occupies the old stables of the Castello di San Gaudenzio. Alongside local specialities such as baked onion and 24-month-old Grana Padano cheese, the menu also features more creative dishes based around authentic recipes. The wine list includes some particularly interesting labels from the Oltrepò region.	['Garden or park', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 0383 3331	https://www.hcsg.it/ristorante/	situat kilometr voghera bassa lomellina area gourmet restaur run young chef occupi old stabl castello di san gaudenzio alongsid local special bake onion 24monthold grana padano chees menu also featur creativ dish base around authent recip wine list includ particularli interest label oltrepò region
11	Il Tirabusciò	via Rosa Scoti 12	Bibbiena	52011	Italy	€€	Tuscan	This restaurant in the heart of the old town is a must for anyone keen to try the cuisine of the Casentino region. The friendly chef is more than happy to provide information on his ingredients and to offer recommendations – the strong flavours in evidence and his delicious cuisine are sure to leave a lasting memory.	['Air conditioning']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 0575 595474	https://www.tirabuscio.it/	restaur heart old town must anyon keen tri cuisin casentino region friendli chef happi provid inform ingredi offer recommend – strong flavour evid delici cuisin sure leav last memori
12	20Tre	via David Chiossone 20 r	Genoa	16123	Italy	€€	Farm to table, Modern Cuisine	Run by three partners, this contemporary-style restaurant is situated in the heart of Genova’s historic centre. The cuisine here is prepared using the best seasonal ingredients, all presented in an array of modern dishes. Meat and fish feature on the menu, with a focus on regional recipes and the occasional Asian twist (for example, the amberjack and ponzu bonbon).	['Air conditioning']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 010 247 6191	https://www.ristorante20tregenova.it/	run three partner contemporarystyl restaur situat heart genova ’ histor centr cuisin prepar use best season ingredi present array modern dish meat fish featur menu focu region recip occasion asian twist exampl amberjack ponzu bonbon
13	Ménage	Via Euplio Reina 13	Catania	95121	Italy	€€	Sicilian, Contemporary	Situated in the heart of the city near the Teatro Bellini and Piazza Università, this restaurant occupies an Art Nouveau-style building. Here, a trio of experienced young chefs from Catania have brought new life to the old “Da Turi Finocchiaro” restaurant, which has always been very popular with the city’s high society. Offering a small outdoor space near the entrance, the quiet, intimate dining room on the ground floor provides the backdrop for reinterpreted, contemporary Sicilian cuisine with an exclusive focus on meat (especially barbecued dishes which are the restaurant’s trademark), while the first floor is home to a cocktail bar run with passion by one of the partners. Two frescoes painted by Giuseppe Barone in 1930 add to the appeal.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 095 0927 2933	https://www.menagelounge.it/	situat heart citi near teatro bellini piazza università restaur occupi art nouveaustyl build trio experienc young chef catania brought new life old “ da turi finocchiaro ” restaur alway popular citi ’ high societi offer small outdoor space near entranc quiet intim dine room ground floor provid backdrop reinterpret contemporari sicilian cuisin exclus focu meat especi barbecu dish restaur ’ trademark first floor home cocktail bar run passion one partner two fresco paint giusepp baron 1930 add appeal
14	Procaccini	Via Giulio Cesare Procaccini 33	Milan	20154	Italy	€€€€	Modern Cuisine, Contemporary	Originally from Kosovo, talented chef Emin Haziri grew up in Italy and has plenty of professional culinary experience behind him. Here, he creates contemporary cuisine with a personal flavour, with raw seafood dishes such as oysters, caviar, Sicilian prawns and scampi available alongside his more imaginative options. In the elegant and stylish dining room with a harmonious colour scheme and fine furnishings, the open-view kitchen and marble chef’s table with velvet-covered stools really catch the eye. The restaurant also boasts a cocktail bar where guests can enjoy a drink and appetisers from the small tapas menu which is designed for sharing.	['Air conditioning', 'Restaurant offering vegetarian menus']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 02 7709 1277		origin kosovo talent chef emin haziri grew itali plenti profession culinari experi behind creat contemporari cuisin person flavour raw seafood dish oyster caviar sicilian prawn scampi avail alongsid imagin option eleg stylish dine room harmoni colour scheme fine furnish openview kitchen marbl chef ’ tabl velvetcov stool realli catch eye restaur also boast cocktail bar guest enjoy drink appetis small tapa menu design share
15	Alessandro Feo	via Angelo Lista 24	Marina di Casal Velino	84040	Italy	€€	Campanian, Seafood	In a beautiful stone-vaulted building (an old 17C monastery) on the town’s seafront promenade, young owner-chef Alessandro Feo has made his mark in this region that perhaps has fewer gourmet restaurants than many places elsewhere. Here, he creates dishes that combine traditional influences and classic favourites from Campania with his own individual flair and creativity. His focus is on local, seasonal ingredients, including produce from his two kitchen gardens and fish sourced from local fishermen as well as from his own ventures out to sea.	[]	['Amex', 'Dinersclub', 'Discover', 'Maestrocard', 'Mastercard', 'Visa']	+39 328 893 7083	https://www.alessandrofeoristorante.it/	beauti stonevault build old 17c monasteri town ’ seafront promenad young ownerchef alessandro feo made mark region perhap fewer gourmet restaur mani place elsewher creat dish combin tradit influenc classic favourit campania individu flair creativ focu local season ingredi includ produc two kitchen garden fish sourc local fishermen well ventur sea
16	Il Ristorante Alain Ducasse Napoli	Via Cristoforo Colombo 45	Naples	80133	Italy	€€€€	Creative, Mediterranean Cuisine	Alain Ducasse, one of the great names in contemporary fine dining, has arrived in Naples, opening this restaurant in the former premises of the prestigious Ristorante Il Comandante. Situated on the 9th floor of the Romeo hotel overlooking the port, the restaurant boasts fine views of Vesuvius and the Bay of Naples, especially at sunset when the colours are truly spectacular. Meanwhile, the modern dining room, decorated completely in black, is equally as stunning as its surroundings. Alessandro Lucassino, who was born in 1991 and has years of experience working with his mentor, adds a personal flavour to local recipes: by using short cooking times, he preserves the nutritious qualities and flavours of local fish and vegetables while remaining faithful to Ducasse’s “cuisine de la naturalité” philosophy.	['Air conditioning', 'Great view', 'Interesting wine list']	['Amex', 'Dinersclub', 'Discover', 'Maestrocard', 'Mastercard', 'Visa']	+39 081 604 1580		alain ducass one great name contemporari fine dine arriv napl open restaur former premis prestigi ristorant il comandant situat 9th floor romeo hotel overlook port restaur boast fine view vesuviu bay napl especi sunset colour truli spectacular meanwhil modern dine room decor complet black equal stun surround alessandro lucassino born 1991 year experi work mentor add person flavour local recip use short cook time preserv nutriti qualiti flavour local fish veget remain faith ducass ’ “ cuisin de la naturalité ” philosophi
17	La Buca	corso Garibaldi 45	Cesenatico	47042	Italy	€€€	Seafood, Contemporary	Choose one of the tables on the outdoor summer terrace (right over the water!) at this restaurant in order to best appreciate its location overlooking the picturesque canal port and its period houses. The indoor dining room is also attractive, with its open-view kitchen and a modern and elegant feel, while the menu focuses almost exclusively on fish, most of which is sourced from local fishermen. Enjoy a wide selection of raw antipasti to start (some simple in their preparation, while others are more elaborate), then choose from an array of beautifully presented, modern dishes, perhaps accompanied by one of the many champagnes included on the wine list.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 0547 675649	https://www.labucaristorante.com/	choos one tabl outdoor summer terrac right water restaur order best appreci locat overlook picturesqu canal port period hous indoor dine room also attract openview kitchen modern eleg feel menu focus almost exclus fish sourc local fishermen enjoy wide select raw antipasti start simpl prepar other elabor choos array beauti present modern dish perhap accompani one mani champagn includ wine list
18	Da Bob Cook Fish	largo Parsano vecchio 16	Sorrento	80067	Italy	€€	Seafood	Working in partnership with the nearby fishmongers which supplies it with fresh fish and seafood, this restaurant occupies a building once used for storing oranges that dates back 400 years. Although there is a menu, given the restaurant’s close relationship with the fishmongers we recommend asking the serving staff about the catch of the day and taking a look in the glass cabinet where the fish are displayed. Dishes are classic and traditional, allowing the full flavour of the fresh fish to shine through.	['Air conditioning', 'Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 081 1778 3873	https://www.dabobcookfish.com/	work partnership nearbi fishmong suppli fresh fish seafood restaur occupi build use store orang date back 400 year although menu given restaur ’ close relationship fishmong recommend ask serv staff catch day take look glass cabinet fish display dish classic tradit allow full flavour fresh fish shine
19	Charleston	via Generale Magliocco 19	Palermo	90141	Italy	€€€€	Modern Cuisine, Creative	Before it became famous in Mondello, the renowned Charleston started out here in the centre of Palermo – and it has now returned to its origins, occupying the former Mazzara bar, itself once a favourite with locals. The ground floor is home to a café, cocktail bar and bistro, while the contemporary, Sicilian-style restaurant with an elegant summer terrace occupies the first floor (lift available). Here, young chef Gaetano Verde demonstrates all the skills acquired during his time working at renowned restaurants elsewhere in Italy and further afield. His dishes are clear and precise and often prepared using only three main ingredients – a good example is his grilled beef dish which is served with fermented grapes and sesame cream.	['Air conditioning', 'Counter dining', 'Terrace', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 091 450171		becam famou mondello renown charleston start centr palermo – return origin occupi former mazzara bar favourit local ground floor home café cocktail bar bistro contemporari sicilianstyl restaur eleg summer terrac occupi first floor lift avail young chef gaetano verd demonstr skill acquir time work renown restaur elsewher itali afield dish clear precis often prepar use three main ingredi – good exampl grill beef dish serv ferment grape sesam cream
20	Nobuya	Via San Nicolao 3/a	Milan	20123	Italy	€€€	Japanese Contemporary, Modern Cuisine	Nobuya boasts a minimalist elegance that is typical of Japanese restaurants, with brown tables, dark wooden beams on the ceiling, attractive subdued lighting, plus an illuminated wine cabinet to add a touch of colour. Here, the talented Japanese chef creates top-quality cuisine using the freshest ingredients. At lunchtime, there’s also a lighter “Bento box” and an omakase tasting menu (“Mi affido a te”) which is completely vegetarian.	['Air conditioning', 'Notable sake list']	['Amex', 'Unionpay', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']	+39 331 808 8558	https://www.nobuya.it/	nobuya boast minimalist eleg typic japanes restaur brown tabl dark wooden beam ceil attract subdu light plu illumin wine cabinet add touch colour talent japanes chef creat topqual cuisin use freshest ingredi lunchtim ’ also lighter “ bento box ” omakas tast menu “ mi affido te ” complet vegetarian
21	Ostaria Pignatelli	Riviera di Chiaia 216	Naples	80121	Italy	€	Campanian	Situated near the neo-Classical Villa Pignatelli and in front of the Villa Comunale gardens, this restaurant offers an outdoor space as well as an elegant taverna-style dining room. “La vita è una, mangiala” (which roughly translates as “you have only one life, so make the most of it!”) is the restaurant’s motto and it’s not difficult to oblige given the delicious cuisine served here. The menu features an extraordinary array of classic favourites from Campania, all full of overwhelming flavours, including aubergine parmigiana, fried anchovies, mixed pasta with potatoes and Provola cheese, “candele alla Genovese” (pasta with beef ragu), Neapolitan-style cod and various lemon desserts.	['Air conditioning', 'Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 081 015 3134	https://www.ostariapignatelli.com/	situat near neoclass villa pignatelli front villa comunal garden restaur offer outdoor space well eleg tavernastyl dine room “ la vita è una mangiala ” roughli translat “ one life make ” restaur ’ motto ’ difficult oblig given delici cuisin serv menu featur extraordinari array classic favourit campania full overwhelm flavour includ aubergin parmigiana fri anchovi mix pasta potato provola chees “ candel alla genoves ” pasta beef ragu neapolitanstyl cod variou lemon dessert
22	Truth Restaurant	via Fratelli Cervi 18	Aversa	81031	Italy	€€	Mediterranean Cuisine, Modern Cuisine	A contemporary-style restaurant, with an open-view kitchen, where two different styles of cuisine can be enjoyed: creative tapas influenced by different traditions, or more classic, local dishes.	['Air conditioning', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 081 1836 1048	http://www.truthrestaurant.it	contemporarystyl restaur openview kitchen two differ style cuisin enjoy creativ tapa influenc differ tradit classic local dish
23	Joca	vico Sospiri 10/C	Naples	80121	Italy	€€€	Modern Cuisine	In a modern, trendy setting, chef Gianluca D'Agostino prepares creative gourmet cuisine with the occasional Campanian influence. In addition to this, in a separate part of the restaurant, guests can choose from a selection of tapas-style dishes which, despite the name, are inspired by traditional Italian and regional classics and have little to do with Spain. The gourmet menu features successful dishes such as sweetbreads, fettuccine and cod, as well as pasta with peas. The main courses include meat and fish.	['Air conditioning', 'Wheelchair access']	['Amex', 'Mastercard', 'Visa']	+39 081 335 6376	https://www.jocarestaurant.it/	modern trendi set chef gianluca dagostino prepar creativ gourmet cuisin occasion campanian influenc addit separ part restaur guest choos select tapasstyl dish despit name inspir tradit italian region classic littl spain gourmet menu featur success dish sweetbread fettuccin cod well pasta pea main cours includ meat fish
24	Innesti	via San Pietro 8	Pergine Valsugana	38057	Italy	€€	Modern Cuisine, Creative	Daniele and Elisa are a couple of young restaurateurs who are familiar to us from their time at Blumenstube in Sant'Orsola. Having moved on, they have now opened their own restaurant in Pergine, where both the decor and the cuisine are contemporary-Alpine in style. As in currently in vogue, their dishes are showcased on three tasting menus (short, medium and long) from which dishes can also be chosen à la carte style. All the recipes have a creative feel, demonstrating the chef’s playful approach to his contemporary ingredients.	['Air conditioning', 'Car park', 'Terrace', 'Wheelchair access']	['Mastercard', 'Visa']	+39 0461 158 3289	https://www.innestirestaurant.it/	daniel elisa coupl young restaurateur familiar us time blumenstub santorsola move open restaur pergin decor cuisin contemporaryalpin style current vogu dish showcas three tast menu short medium long dish also chosen à la cart style recip creativ feel demonstr chef ’ play approach contemporari ingredi
25	Casin del Gamba	via Roccolo Pizzati 1	Altissimo	36070	Italy	€€€€	Country cooking, Modern Cuisine	The journey to get here – a winding road through woods and hills – may be challenging at times but the warm welcome offered by the whole family Dal Lago at this delightful restaurant makes you feel completely at home and more than compensates for the effort. Owner-chef Antonio shares the honours and duties of his role with long-established sous-chef Biolo. Together, they prepare cuisine that is perfectly balanced between classic flavours and modern trends, using local ingredients that respect the passing seasons. Game features on the menu in winter, while dishes are often seasoned with wild aromatic herbs (for example, the local snails served with thyme and onion bread). For her part, Signora Daria determinedly takes on two roles: she not only prepares the desserts, but also skilfully supervises front of house, ably assisted by son Luca who is happy to advise guests on their choice of wine. The well-structured wine list also includes a good number of organic wines.	['Car park', 'Interesting wine list', 'Terrace', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0444 687709	https://www.casindelgamba.it/	journey get – wind road wood hill – may challeng time warm welcom offer whole famili dal lago delight restaur make feel complet home compens effort ownerchef antonio share honour duti role longestablish souschef biolo togeth prepar cuisin perfectli balanc classic flavour modern trend use local ingredi respect pass season game featur menu winter dish often season wild aromat herb exampl local snail serv thyme onion bread part signora daria determinedli take two role prepar dessert also skil supervis front hous abli assist son luca happi advis guest choic wine wellstructur wine list also includ good number organ wine
26	Anticofurlo	via Furlo 60	Acqualagna	61041	Italy	€€	Cuisine from the Marches, Country cooking	Situated in the Gola del Furlo nature reserve, this restaurant is run by the talented and enthusiastic Alberto and Roberta, whose focus is on typical Marche specialities such as fresh pasta, cured hams, fine cheese and regional dishes full of intense flavours. The picturesque grotto carved into the rock is perfect for an aperitif, while the inn also offers charming guestrooms.	['Air conditioning', 'Car park', 'Interesting wine list', 'Terrace', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0721 700096		situat gola del furlo natur reserv restaur run talent enthusiast alberto roberta whose focu typic march special fresh pasta cure ham fine chees region dish full intens flavour picturesqu grotto carv rock perfect aperitif inn also offer charm guestroom
27	Palais Royal Restaurant	Calle Larga 22 Marzo 2032	Venice	30124	Italy	€€€€	Creative, Mediterranean Cuisine	This restaurant is an Italian offshoot of the award-winning Palais Royal in Paris. To the delight of gourmet food-lovers, Greek chef Philip Chronopoulos now also serves his delicious gastronomic creations in Venice, in this restaurant in the Nolinski hotel housed in the former Palazzo della Borsa. The elliptical dining room, with a muffled ambience thanks to its beautiful carpet, has a charm of its own, which lightly harks back to the 1950s. Here, guests have a choice of two tasting menus which showcase cuisine with a Mediterranean flavour, French techniques, numerous Greek influences (including the opening course which reinterprets classic recipes), and Italian ingredients. Top-quality options such as lobster and caviar are prepared with precision and served with real skill – it comes as no surprise to learn that Philip previously worked with renowned chefs such as Joël Robuchon and Alain Passard. An excellent new address for the Venetian Lagoon!	['Air conditioning']	['Amex', 'Mastercard', 'Visa']	+39 041 406259		restaur italian offshoot awardwin palai royal pari delight gourmet foodlov greek chef philip chronopoulo also serv delici gastronom creation venic restaur nolinski hotel hous former palazzo della borsa ellipt dine room muffl ambienc thank beauti carpet charm lightli hark back 1950 guest choic two tast menu showcas cuisin mediterranean flavour french techniqu numer greek influenc includ open cours reinterpret classic recip italian ingredi topqual option lobster caviar prepar precis serv real skill – come surpris learn philip previous work renown chef joël robuchon alain passard excel new address venetian lagoon
28	Metodo	via Vittorio Emanuele 9	Marne	24040	Italy	€€€	Creative, Contemporary	In the romantic setting of an 18C farmhouse, this restaurant has a rustic dining room enhanced by its elegant decor and furnishings, such as the solid maple tables and refined cutlery. The cuisine is showcased on two tasting menus (from which dishes can also be chosen individually) which are creative and occasionally very elaborate in style.	['Air conditioning']	['Dinersclub', 'Mastercard', 'Visa']	+39 342 036 5600	https://www.ristorante-metodo.it	romant set 18c farmhous restaur rustic dine room enhanc eleg decor furnish solid mapl tabl refin cutleri cuisin showcas two tast menu dish also chosen individu creativ occasion elabor style
29	Gimmy's	via privata Gemelli	Aprica	23031	Italy	€€	Italian, Modern Cuisine	Traditional cuisine reinterpreted with a modern twist, with a whole page of the menu dedicated to meat dishes. Meals are served in an attractive Stube-style room with a warm mountain ambience.	['Car park', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0342 747048	https://www.hotelarisch.com/il-ristorante/	tradit cuisin reinterpret modern twist whole page menu dedic meat dish meal serv attract stubestyl room warm mountain ambienc
